event_id,n_detections,frame_start,frame_end,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,original_cluster_id
83,2,22,23,2,20.0,184.48888888888888,165.85000000000002,1.4888888888888943,2.6499999999999915,183.0,163.20000000000002,185.9777777777778,168.5,3.9777777777777885,6.299999999999983,1017.609130859375,962.1234130859375,0.13621314118195468,0.06810657059097734,136213.14118195468,68106.57059097734,82
84,17,22,39,18,180.0,1819.0979594914886,223.08249676793795,3.428074580469095,3.7243320442375727,1809.8,215.5,1822.0,227.3,13.200000000000045,12.800000000000011,1056.0186767578125,947.7833790498621,2.068064058558318,0.1216508269740187,2068064.0585583178,121650.82697401871,83
85,6,22,27,6,60.0,244.13333333333333,769.3666666666667,3.6522443632496557,4.04213914764062,239.5,766.0,248.0,776.0,9.5,11.0,1175.452392578125,945.6439615885416,0.19813055489754275,0.033021759149590456,198130.55489754275,33021.759149590456,84
86,5,22,27,6,60.0,988.2351010101011,832.5969696969696,4.472701039223028,2.0482158690180263,984.75,830.8181818181819,996.375,835.5,12.625,5.68181818181813,1344.6800537109375,1069.9206787109374,0.32195995631299446,0.0643919912625989,321959.9563129945,64391.991262598895,85
87,2,22,23,2,20.0,1965.3333333333335,1379.6666666666665,0.33333333333337123,0.33333333333337123,1965.0,1379.3333333333333,1965.6666666666667,1380.0,1.6666666666667425,1.6666666666667425,906.6376953125,888.87158203125,0.04953203186797542,0.02476601593398771,49532.03186797542,24766.01593398771,86
88,3,23,25,3,30.0,664.0,132.5,0.816496580927726,0.408248290463863,663.0,132.0,665.0,133.0,3.0,2.0,906.6376953125,882.9524332682291,0.049532317444954996,0.016510772481651666,49532.317444955,16510.772481651667,87
89,3,23,25,3,30.0,88.46608946608949,388.50216450216453,0.8638096390336435,1.0660079767538764,87.33333333333334,387.0,89.42857142857143,389.3636363636364,3.095238095238088,3.363636363636374,1572.26708984375,1203.4195963541667,0.27242792443211095,0.09080930814403698,272427.924432111,90809.30814403699,88
90,2,23,24,2,20.0,609.6355042016806,1010.1628151260504,1.4002100840335743,0.5157563025210266,608.2352941176471,1009.6470588235294,611.0357142857142,1010.6785714285714,3.8004201680671486,2.031512605042053,1055.9915771484375,1017.9702758789062,0.32195988490224514,0.16097994245112257,321959.88490224513,160979.94245112257,89
91,14,24,37,14,140.0,1415.0116807105935,449.6887623246319,2.208924221900939,0.9189882404238826,1411.2727272727273,448.0,1418.0,451.0,7.727272727272748,4.0,2247.09228515625,1319.4215654645648,1.7460724698661907,0.12471946213329933,1746072.4698661908,124719.46213329933,90
92,3,24,26,3,30.0,1957.3055555555557,616.9027777777778,0.7211530547637268,0.34077344851071867,1956.5,616.5,1958.25,617.3333333333334,2.75,1.8333333333333712,942.926025390625,906.8958740234375,0.14859809465909635,0.04953269821969878,148598.09465909636,49532.69821969878,91
93,4,24,27,4,40.0,57.37315314258912,1663.9091375469043,0.6478428315344884,0.3142456879129542,56.48780487804878,1663.6341463414635,58.21875,1664.4375,2.7309451219512226,1.80335365853648,1433.5721435546875,1252.0796508789062,1.461220463981763,0.36530511599544074,1461220.463981763,365305.11599544075,92
94,7,26,33,8,80.0,1939.452380952381,660.7142857142857,0.9202927661946426,1.0301575072754254,1938.0,659.0,1941.0,662.0,4.0,4.0,942.9495849609375,891.5337698800223,0.14860245011461348,0.021228921444944784,148602.4501146135,21228.921444944783,93
95,11,26,37,12,120.0,931.2716704214745,1384.1493461330842,1.6682523017620299,2.4816469979854956,928.3333333333334,1380.4814814814815,933.5555555555555,1388.6805555555557,6.222222222222172,9.199074074074133,2247.105224609375,1473.2270951704545,3.3435634849979605,0.3039603168179964,3343563.4849979607,303960.3168179964,94
96,4,26,29,4,40.0,73.84375,1652.5,1.1191900300228146,0.8964005525529641,72.125,1651.25,75.25,1653.75,4.125,3.5,1056.0460205078125,999.6696929931641,0.5448664869835886,0.13621662174589716,544866.4869835887,136216.62174589717,95
97,16,27,44,18,180.0,1741.1891112359863,198.2710033022533,3.0197257031550278,1.3779726879130003,1736.5,196.0,1747.1538461538462,200.37878787878788,11.653846153846189,5.378787878787875,1056.013671875,946.18017578125,1.7213986117836675,0.10758741323647922,1721398.6117836675,107587.41323647922,96
98,5,27,32,6,60.0,232.23333333333335,816.7666666666667,0.4898979485566364,1.576212055671583,231.5,814.0,233.0,818.5,2.5,5.5,871.124267578125,871.1047119140625,0.12383425642671556,0.02476685128534311,123834.25642671555,24766.85128534311,97
99,2,27,28,2,20.0,614.5,959.5,1.5,2.5,613.0,957.0,616.0,962.0,4.0,6.0,871.1163330078125,871.0967407226562,0.024766694195688874,0.012383347097844437,24766.694195688873,12383.347097844437,98
100,4,27,31,5,50.0,934.5297619047619,1105.452380952381,0.8641209012474874,1.4374722712498769,933.8333333333334,1103.0,936.0,1106.6666666666667,3.1666666666666288,4.6666666666667425,1717.338623046875,1432.3678894042969,0.1857505277924924,0.0464376319481231,185750.52779249242,46437.631948123104,99
