event_id,num_detections,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,mean_area_px,mean_area_km2,peak_intensity,frame_start,frame_end
291,5,5,25,662.7666666666667,1173.4333333333332,3.4,133629.65684928928,1305.80712890625,45,49
292,2,2,10,356.16666666666663,876.9166666666667,2.5,98257.18425702355,1191.9853515625,46,47
293,1,1,5,191.5,1109.75,3.0,117908.6902729883,1167.130859375,46,46
294,1,1,5,98.0,1152.0,2.0,78605.7935153255,1122.9493408203125,46,46
295,4,4,20,1066.327922077922,1727.690039127539,10.75,422505.4292737331,1327.8216552734375,46,49
296,3,3,15,465.73333333333335,374.81666666666666,3.6666666666666665,144110.31403978926,1319.7470703125,47,49
297,3,3,15,900.8422170422172,476.83659673659673,18.0,707450.6814684168,1264.70263671875,47,49
298,1,1,5,1591.5,1911.0,2.0,78605.7166658144,1173.3165283203125,47,47
299,1,1,5,487.6995192307692,267.58653846153845,29.0,1139781.777234663,1275.9610595703125,48,48
300,2,2,10,190.75,1109.0,2.0,78605.60138722745,1223.0052490234375,48,49
301,1,1,5,95.0,1158.0,2.0,78605.6398092871,1119.513427734375,48,48
302,1,1,5,794.5,1303.0,2.0,78605.6398092871,1156.4219970703125,48,48
303,1,1,5,2001.3333333333333,1556.3333333333333,3.0,117908.4597139306,1153.33984375,48,48
304,2,2,10,1590.541666666667,1919.5416666666665,5.5,216165.39420936065,1324.544921875,48,49
