event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_Mm2,peak_intensity
170,1,1060.5,1735.5,1,5,2.0,0.0786068695748899,1287.5462646484375
171,2,1062.0833333333335,1732.5833333333335,2,10,2.5,0.0982583563682921,1279.66796875
172,2,1060.5,1736.0,2,10,2.0,0.0786064468337116,1309.1112060546875
173,4,1066.3022727272728,1727.862373737374,4,20,8.25,0.32424831226151785,1327.8216552734375
174,14,1766.8904761904762,1346.9078231292517,14,70,4.714285714285714,0.18528611958173058,1312.27197265625
175,3,464.3888888888889,378.99206349206355,3,15,5.333333333333333,0.20961746057026429,1318.9852294921875
176,3,468.6111111111111,375.72222222222223,3,15,2.3333333333333335,0.09170692562972073,1314.341064453125
177,3,465.56666666666666,374.90000000000003,3,15,3.0,0.11790845971806663,1319.7470703125
178,1,194.0,1101.5,1,5,2.0,0.0786066389791377,1286.97265625
179,3,191.33333333333334,1104.8333333333333,3,15,2.0,0.0786063315346594,1278.6561279296875
180,3,1883.125,793.9166666666666,3,15,5.333333333333333,0.209617217177452,1322.090087890625
181,1,1121.0,733.5,1,5,2.0,0.0786064084023824,1243.5606689453125
182,6,1125.1666666666667,728.4583333333334,6,30,3.0,0.11790908738008725,1331.58837890625
183,2,1990.25,409.5,2,10,2.0,0.07860613938323195,1198.3642578125
184,3,480.72222222222223,1119.7777777777776,3,15,2.3333333333333335,0.09170704091933612,1310.38232421875
185,1,676.7142857142857,1943.4285714285716,1,5,7.0,0.2751213533370164,1260.186767578125
186,4,679.0555555555555,1940.0972222222222,4,20,2.75,0.1080830621602432,1214.373046875
187,6,898.5972222222222,473.4305555555556,6,30,3.3333333333333335,0.13100957260903107,1264.70263671875
188,1,354.5,971.0,1,5,2.0,0.0786059472342522,1209.56640625
189,1,351.6666666666667,970.3333333333334,1,5,3.0,0.1179085749987216,1226.074951171875
190,1,9.0,1636.5,1,5,2.0,0.0786059472342522,1195.2247314453125
191,1,633.5,477.0,1,5,2.0,0.0786056398092871,1345.4990234375
192,1,375.0,1866.5,1,5,2.0,0.0786055629651678,1257.6519775390625
